time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-08-31T23:16:13.125Z,-58.6689,-24.8487,10,4.8,mb,,48,7.796,1.08,us,us7000bfi5,2020-11-07T18:48:41.040Z,"South Sandwich Islands region",earthquake,7.8,1.7,0.072,59,reviewed,us,us
2020-08-31T21:18:02.693Z,-35.4385,-15.6138,10,5.9,mww,,31,3.122,1.05,us,us7000bfgl,2020-11-07T18:48:40.040Z,"Tristan da Cunha region",earthquake,7.9,1.7,0.063,24,reviewed,us,us
2020-08-31T21:09:33.636Z,24.8788,95.2425,123.46,4.9,mb,,33,1.074,0.77,us,us7000bfgi,2020-11-07T18:48:40.040Z,"114 km SE of Phek, India",earthquake,5.9,3.5,0.052,117,reviewed,us,us
2020-08-31T20:28:08.904Z,-54.9713,-130.1897,10,5.8,mww,,53,31.205,1.17,us,us7000bffs,2020-11-07T18:48:40.040Z,"Pacific-Antarctic Ridge",earthquake,5.3,1.8,0.073,18,reviewed,us,us
2020-08-31T20:25:21.069Z,11.1625,-86.9003,10,4.5,mb,,173,1.352,1.11,us,us7000bfg9,2020-11-07T18:48:40.040Z,"80 km SSW of Masachapa, Nicaragua",earthquake,6.9,1.8,0.069,62,reviewed,us,us
2020-08-31T18:19:21.035Z,-5.2345,140.4074,10,4.7,mb,,39,7.633,1.17,us,us7000bfdn,2020-11-07T18:48:40.040Z,"138 km NW of Kiunga, Papua New Guinea",earthquake,8,1.8,0.074,56,reviewed,us,us
2020-08-31T17:24:04.946Z,-4.0158,70.1973,10,6.1,mww,,22,4.041,1.28,us,us7000bfbx,2020-11-07T18:48:40.040Z,"Chagos Archipelago region",earthquake,8,1.7,0.047,44,reviewed,us,us
2020-08-31T17:21:09.417Z,-22.411,170.5675,10,4.7,mb,,127,2.53,0.76,us,us7000bhs7,2020-11-07T18:48:51.040Z,"293 km ESE of Tadine, New Caledonia",earthquake,10.1,1.8,0.147,14,reviewed,us,us
2020-08-31T15:45:54.524Z,-2.1858,138.2002,37.46,4.5,mb,,71,5.989,0.59,us,us7000bhs6,2020-11-07T18:48:51.040Z,"260 km ESE of Biak, Indonesia",earthquake,7.5,9.1,0.136,16,reviewed,us,us
2020-08-31T13:39:29.869Z,34.9634,27.1222,10,4.6,mb,,107,0.583,0.68,us,us7000bhs5,2020-11-07T18:48:51.040Z,"53 km SSE of Fry, Greece",earthquake,5.1,1.8,0.109,25,reviewed,us,us
2020-08-31T12:09:34.692Z,-22.4689,170.4762,10,4.5,mb,,127,2.473,0.67,us,us7000bhs3,2020-11-07T18:48:51.040Z,"286 km ESE of Tadine, New Caledonia",earthquake,10.6,1.9,0.132,19,reviewed,us,us
2020-08-31T11:43:42.239Z,28.3715,104.9033,10,4.5,mb,,90,4.435,0.88,us,us7000bhs2,2020-11-07T18:48:51.040Z,"20 km ESE of Xunchang, China",earthquake,10.5,1.9,0.124,19,reviewed,us,us
2020-08-31T09:56:03.719Z,0.8478,-29.8727,10,4.8,mb,,60,15.337,0.58,us,us7000bf7r,2020-11-07T18:48:39.040Z,"central Mid-Atlantic Ridge",earthquake,6.7,1.9,0.068,67,reviewed,us,us
2020-08-31T08:07:59.609Z,10,126.0849,10,4.5,mb,,100,2.954,0.56,us,us7000bhrz,2020-11-07T18:48:51.040Z,"5 km ESE of Santa Monica, Philippines",earthquake,6,1.9,0.088,38,reviewed,us,us
2020-08-31T07:16:37.214Z,21.6817,143.0269,308.16,4.5,mb,,42,6.921,0.66,us,us7000bf6t,2020-11-07T18:48:39.040Z,"Mariana Islands region",earthquake,10.1,6.5,0.032,289,reviewed,us,us
