time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-04-30T22:10:31.558Z,-24.0112,-66.93,164.35,5.4,mww,,32,1.557,0.92,us,us700097y1,2020-07-18T21:57:07.040Z,"66 km WNW of San Antonio de los Cobres, Argentina",earthquake,6.7,4.1,0.054,33,reviewed,us,us
2020-04-30T21:23:21.830Z,-2.3984,138.7274,58.9,5.1,mww,,18,6.492,1.1,us,us700097x8,2020-07-18T21:57:07.040Z,"212 km W of Abepura, Indonesia",earthquake,8.5,4.9,0.086,13,reviewed,us,us
2020-04-30T16:01:53.126Z,-18.3922,-178.8616,538.15,4.6,mb,,78,3.005,1.2,us,us70009ajm,2020-07-18T21:57:39.040Z,"196 km E of Levuka, Fiji",earthquake,15,9.9,0.125,22,reviewed,us,us
2020-04-30T15:32:27.313Z,-6.9904,154.9022,10,4.5,mb,,41,3.893,0.94,us,us70009ajj,2020-07-18T21:57:39.040Z,"98 km SW of Panguna, Papua New Guinea",earthquake,7.5,1.8,0.094,42,reviewed,us,us
2020-04-30T10:09:46.791Z,36.9551,28.5722,10,4.9,mb,,38,0.824,1.18,us,us700097h4,2020-07-18T21:57:05.040Z,"14 km NNW of Dalyan, Turkey",earthquake,4.4,1.8,0.067,71,reviewed,us,us
2020-04-30T09:23:12.537Z,-22.6597,-67.9997,108.93,5.3,mww,,29,0.334,1.37,us,us700097g8,2020-07-18T21:57:05.040Z,"34 km NE of San Pedro de Atacama, Chile",earthquake,6.5,3.7,0.058,29,reviewed,us,us
2020-04-30T08:21:59.649Z,-7.0922,106.9026,59.57,4.8,mb,,50,0.827,0.8,us,us70009aj8,2020-07-18T21:57:39.040Z,"19 km S of Sukabumi, Indonesia",earthquake,7.8,5.5,0.072,59,reviewed,us,us
2020-04-30T08:20:26.093Z,1.2299,99.5995,17.12,5,mww,,29,1.603,0.72,us,us700097e2,2020-07-18T21:57:05.040Z,"40 km ESE of Padangsidempuan, Indonesia",earthquake,4.9,3.2,0.098,10,reviewed,us,us
2020-04-30T04:45:00.275Z,-20.9882,-175.3087,10,4.7,mb,,66,5.405,0.75,us,us700097bd,2020-07-18T21:57:05.040Z,"Tonga",earthquake,10.4,1.8,0.058,90,reviewed,us,us
2020-04-30T04:10:35.715Z,-2.9811,130.0352,10,4.6,mb,,58,2.211,0.74,us,us700097av,2020-07-18T21:57:04.040Z,"130 km ENE of Amahai, Indonesia",earthquake,6.7,1.8,0.092,35,reviewed,us,us
2020-04-30T03:50:50.176Z,-23.7509,69.3823,10,4.9,mb,,70,20.9,0.78,us,us700097ar,2020-07-18T21:57:04.040Z,"Mid-Indian Ridge",earthquake,11.9,1.8,0.079,50,reviewed,us,us
2020-04-30T03:15:33.647Z,5.6912,-82.6451,10,4.8,mb,,128,3.083,0.66,us,us700097a8,2020-07-18T21:57:04.040Z,"260 km S of Punta de Burica, Panama",earthquake,7.4,1.8,0.074,57,reviewed,us,us
2020-04-30T03:15:21.414Z,40.9219,142.7766,36.18,5.2,mww,,53,1.305,0.55,us,us700097a4,2020-07-18T21:57:04.040Z,"117 km ENE of Hachinohe, Japan",earthquake,7.4,0.8,0.069,20,reviewed,us,us
2020-04-30T02:06:03.489Z,-6.4147,154.465,10,4.5,mb,,127,3.182,0.85,us,us70009aj2,2020-07-18T21:57:38.040Z,"113 km W of Panguna, Papua New Guinea",earthquake,7.4,1.9,0.135,16,reviewed,us,us
2020-04-30T01:52:36.955Z,-0.056,123.7186,54.06,4.5,mb,,78,1.362,0.69,us,us70009aj1,2020-07-18T21:57:38.040Z,"98 km SE of Gorontalo, Indonesia",earthquake,8.3,7.9,0.093,34,reviewed,us,us
2020-04-29T22:34:12.056Z,-56.5284,-25.6871,10,4.6,mb,,197,17.967,0.75,us,us70009agb,2020-07-18T21:57:38.040Z,"94km E of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,5.8,1.9,0.126,19,reviewed,us,us
2020-04-29T22:33:41.010Z,-10.2157,161.5409,89.11,4.5,mb,,111,1.749,0.67,us,us70009age,2020-07-18T21:57:38.040Z,"49 km WNW of Kirakira, Solomon Islands",earthquake,9.9,7.5,0.095,32,reviewed,us,us
2020-04-29T21:50:44.410Z,-21.634,170.3256,60.43,4.6,mb,,148,2.141,0.67,us,us60009eyu,2020-07-18T21:57:04.040Z,"southeast of the Loyalty Islands",earthquake,10.7,6,0.093,35,reviewed,us,us
2020-04-29T17:47:07.930Z,4.6331,127.007,61.8,4.8,mb,,111,2.806,0.77,us,us60009eug,2020-07-18T21:57:04.040Z,"191 km ESE of Sarangani, Philippines",earthquake,3.7,6.2,0.056,99,reviewed,us,us
2020-04-29T17:01:35.721Z,35.5681,45.0817,11.95,4.8,mb,,39,0.322,0.7,us,us60009ety,2020-07-18T21:57:03.040Z,"22 km E of Jamjamāl, Iraq",earthquake,3.4,3.9,0.046,144,reviewed,us,us
2020-04-29T16:04:31.546Z,-23.2797,-66.6103,195.02,4.9,mww,,57,1.48,1.16,us,us60009esk,2020-07-18T21:57:03.040Z,"95 km W of El Aguilar, Argentina",earthquake,8.2,5,0.071,19,reviewed,us,us
2020-04-29T15:47:02.756Z,-17.4843,-173.6698,31,4.9,mb,,53,3.892,0.95,us,us60009es9,2020-07-18T21:57:03.040Z,"133 km NNE of Neiafu, Tonga",earthquake,8.6,4.6,0.076,55,reviewed,us,us
2020-04-29T14:01:17.827Z,-17.7495,-178.4869,578.03,4.6,mb,,67,3.297,0.75,us,us60009epz,2020-07-18T21:57:03.040Z,"235 km E of Levuka, Fiji",earthquake,12.6,7.4,0.098,31,reviewed,us,us
2020-04-29T10:52:11.796Z,-23.7009,69.5338,10,4.9,mb,,51,20.59,0.39,us,us60009ele,2020-07-18T21:57:03.040Z,"Mid-Indian Ridge",earthquake,11.2,1.8,0.064,76,reviewed,us,us
2020-04-29T10:23:16.959Z,-5.128,152.3258,35,5,mb,,87,0.944,0.68,us,us60009el9,2020-07-18T21:57:03.040Z,"87 km S of Kokopo, Papua New Guinea",earthquake,4.3,1.9,0.041,187,reviewed,us,us
2020-04-29T10:22:47.924Z,20.1913,-74.158,10,4.6,mww,,36,0.856,0.63,us,us60009el1,2020-07-18T21:57:03.040Z,"6 km S of Maisí, Cuba",earthquake,5,1.9,0.093,11,reviewed,us,us
2020-04-29T08:17:48.298Z,-4.4942,102.5006,50.92,4.8,mb,,95,0.472,0.67,us,us60009ejp,2020-07-18T21:57:03.040Z,"southern Sumatra, Indonesia",earthquake,7.6,5.7,0.081,47,reviewed,us,us
2020-04-29T06:21:49.480Z,-17.7084,167.8718,10,4.5,mb,,69,3.755,1.18,us,us70009afp,2020-07-18T21:57:37.040Z,"46 km W of Port-Vila, Vanuatu",earthquake,5.5,1.8,0.115,22,reviewed,us,us
2020-04-29T05:37:16.535Z,-24.2701,-67.0461,149.27,5.4,mww,,39,1.673,1.16,us,us60009ehh,2020-07-18T21:57:02.040Z,"74 km W of San Antonio de los Cobres, Argentina",earthquake,7.9,3.8,0.046,45,reviewed,us,us
2020-04-29T04:08:30.265Z,10.6906,125.1804,10,4.6,mb,,77,3.619,0.84,us,us60009eh7,2020-07-18T21:57:02.040Z,"11 km N of Hingatungan, Philippines",earthquake,8.8,1.8,0.071,60,reviewed,us,us
2020-04-28T19:13:20.156Z,-60.3565,-29.3442,10,4.6,mb,,84,15.451,1.11,us,us700099z8,2020-07-11T22:19:30.040Z,"South Sandwich Islands region",earthquake,7,1.9,0.123,21,reviewed,us,us
2020-04-28T16:08:13.154Z,-19.5826,-173.0571,10,4.7,mb,,99,2.998,0.51,us,us700099z5,2020-07-11T22:19:30.040Z,"138 km E of Pangai, Tonga",earthquake,9.8,1.9,0.113,24,reviewed,us,us
2020-04-28T13:15:30.222Z,42.0297,142.6084,53.98,4.5,mb,,134,1.698,0.72,us,us60009dxg,2020-07-11T22:19:15.040Z,"39 km SSE of Shizunai-furukawachō, Japan",earthquake,7.9,6.3,0.083,43,reviewed,us,us
2020-04-28T12:02:32.897Z,13.227,-44.8374,10,5.1,mww,,91,11.152,0.5,us,us60009dvz,2020-07-11T22:19:15.040Z,"northern Mid-Atlantic Ridge",earthquake,11.3,1.9,0.073,18,reviewed,us,us
2020-04-28T11:45:20.497Z,39.9632,70.7994,10,4.5,mb,,48,0.095,0.77,us,us700099z0,2020-07-11T22:19:30.040Z,"11 km S of Batken, Kyrgyzstan",earthquake,2.7,1.9,0.181,9,reviewed,us,us
2020-04-28T11:15:35.077Z,36.5341,70.5821,199.81,4.7,mb,,62,1.957,0.81,us,us60009dul,2020-07-11T22:19:15.040Z,"43 km SSW of Jurm, Afghanistan",earthquake,6.5,6.4,0.037,215,reviewed,us,us
2020-04-28T09:06:07.043Z,-2.8175,-77.429,10,4.6,mb,,101,1.859,0.81,us,us60009dtb,2020-07-11T22:19:15.040Z,"91 km ESE of Sucúa, Ecuador",earthquake,6.4,1.9,0.05,120,reviewed,us,us
2020-04-28T04:43:20.332Z,-7.0361,104.9452,35,4.7,mb,,142,2.658,0.44,us,us700099yn,2020-07-11T22:19:29.040Z,"121 km SW of Labuan, Indonesia",earthquake,9.8,2,0.166,11,reviewed,us,us
2020-04-28T01:36:48.256Z,-6.7207,154.8392,10,4.6,mb,,126,3.661,0.78,us,us700099yj,2020-07-11T22:19:29.040Z,"84 km WSW of Panguna, Papua New Guinea",earthquake,11.8,1.9,0.101,29,reviewed,us,us
2020-04-28T00:13:43.203Z,-16.3874,-172.9005,10,5.2,mb,,57,3.896,0.84,us,us60009dmf,2020-07-11T22:19:13.040Z,"107 km ESE of Hihifo, Tonga",earthquake,8.2,1.8,0.031,353,reviewed,us,us
2020-04-27T23:18:14.988Z,1.5751,97.0459,29.03,4.5,mb,,163,0.594,0.6,us,us60009dl4,2020-07-11T22:19:13.040Z,"114 km SW of Singkil, Indonesia",earthquake,5.4,6,0.09,36,reviewed,us,us
2020-04-27T20:11:31.148Z,-6.6946,154.3331,10,4.5,mb,,65,3.293,1.26,us,us700097qz,2020-07-11T22:19:28.040Z,"134 km WSW of Panguna, Papua New Guinea",earthquake,7.5,1.9,0.118,21,reviewed,us,us
2020-04-27T19:42:50.432Z,-51.6359,139.8777,10,4.5,mb,,63,14.613,0.79,us,us700097qv,2020-07-11T22:19:28.040Z,"western Indian-Antarctic Ridge",earthquake,12.4,1.9,0.128,18,reviewed,us,us
