time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-12-25T14:28:39.069Z,0.5973,126.4925,31.56,4.8,mb,,73,0.891,0.92,us,us6000d2yn,2020-12-25T14:51:32.040Z,"101 km WSW of Ternate, Indonesia",earthquake,8,5.6,0.131,18,reviewed,us,us
2020-12-25T12:11:21.988Z,-32.1118,-66.7422,32.05,4.9,mb,,81,1.746,1.21,us,us6000d2xr,2020-12-25T12:35:09.040Z,"67 km NNW of Villa General Roca, Argentina",earthquake,4.9,4.6,0.129,19,reviewed,us,us
2020-12-25T11:40:12.799Z,-9.1975,119.7537,41.21,5.1,mww,,76,2.517,0.98,us,us6000d2xi,2020-12-25T11:57:48.040Z,"73 km SSE of Komodo, Indonesia",earthquake,7.6,7.7,0.089,12,reviewed,us,us
2020-12-25T11:20:24.730Z,29.4984,128.4751,10,4.5,mb,,74,2.632,0.79,us,us6000d2xb,2020-12-25T11:45:04.040Z,"159 km NW of Naze, Japan",earthquake,5.9,1.8,0.087,39,reviewed,us,us
2020-12-25T10:04:37.067Z,13.2726,122.3008,23.21,5.5,mww,,120,10.536,0.64,us,us6000d2wq,2020-12-25T18:59:16.809Z,"23 km W of Casay, Philippines",earthquake,9.8,5.7,0.098,10,reviewed,us,us
2020-12-25T09:37:16.026Z,-22.4332,-68.5578,105.03,4.5,mb,,39,0.623,1.17,us,us6000d2w8,2020-12-25T09:54:34.040Z,"Antofagasta, Chile",earthquake,5.8,8.5,0.075,52,reviewed,us,us
2020-12-25T07:01:30.393Z,-32.1646,-71.5124,42.3,4.7,mb,,77,0.472,0.67,us,us6000d2v5,2020-12-25T07:16:33.241Z,"41 km NW of La Ligua, Chile",earthquake,4.6,3.8,0.147,14,reviewed,us,us
2020-12-25T03:35:50.272Z,-18.4654,168.8092,132.78,4.6,mb,,73,3.372,0.59,us,us6000d2tk,2020-12-25T03:55:56.040Z,"96 km SSE of Port-Vila, Vanuatu",earthquake,13.6,9,0.078,50,reviewed,us,us
2020-12-25T02:00:34.118Z,5.0897,126.0028,111.68,5.1,mb,,83,2.011,1.28,us,us6000d2sq,2020-12-25T06:41:23.038Z,"69 km ESE of Sarangani, Philippines",earthquake,6.4,6.7,0.053,120,reviewed,us,us
2020-12-25T01:20:00.580Z,-31.9449,-178.2055,10,4.7,mb,,209,2.701,0.96,us,us6000d2sa,2020-12-25T01:40:56.040Z,"Kermadec Islands region",earthquake,7.3,1.9,0.115,23,reviewed,us,us
2020-12-24T23:43:42.175Z,13.8178,120.6238,109,6.3,mww,,24,3.716,0.99,us,us6000d2ra,2020-12-25T19:00:50.961Z,"1 km SSW of Calatagan, Philippines",earthquake,6.7,1.9,0.037,71,reviewed,us,us
2020-12-24T22:32:54.430Z,-6.4693,150.8078,10,4.9,mb,,147,2.635,0.79,us,us6000d2qq,2020-12-24T23:08:10.040Z,"125 km SE of Kimbe, Papua New Guinea",earthquake,9.6,1.9,0.078,52,reviewed,us,us
2020-12-24T21:16:41.855Z,-9.4838,157.841,10,5.3,mww,,36,2.078,0.63,us,us6000d2q1,2020-12-24T21:35:54.040Z,"188 km SE of Gizo, Solomon Islands",earthquake,6.8,1.9,0.098,10,reviewed,us,us
2020-12-24T20:38:30.147Z,30.8229,130.4553,112.93,4.9,mb,,88,0.684,1.12,us,us6000d2pk,2020-12-24T21:48:05.040Z,"45 km NNW of Miyanoura, Japan",earthquake,7.5,6.1,0.063,78,reviewed,us,us
2020-12-24T20:04:11.812Z,-32.0102,-178.0673,10,5.1,mb,,139,2.758,0.5,us,us6000d2pg,2020-12-24T20:52:11.040Z,"south of the Kermadec Islands",earthquake,8.3,1.9,0.099,36,reviewed,us,us
2020-12-24T19:40:07.938Z,36.5911,141.0216,58.74,4.6,mb,,134,2.264,0.3,us,us6000d2ny,2020-12-24T20:34:18.040Z,"30 km ESE of Takahagi, Japan",earthquake,9.9,8.2,0.119,23,reviewed,us,us
2020-12-24T18:12:29.774Z,-7.7562,127.2899,163.36,4.5,mb,,62,3.587,1.06,us,us6000d2mn,2020-12-25T15:48:05.040Z,"90 km NNE of Lospalos, Timor Leste",earthquake,9.1,10.6,0.135,16,reviewed,us,us
2020-12-24T17:33:47.130Z,17.9461,-66.8385,9,4.69,ml,20,189,0.207,0.2,pr,pr2020359053,2020-12-25T17:38:07.677Z,"5 km SSW of Indios, Puerto Rico",earthquake,0.51,0.5,0.2,12,reviewed,pr,pr
2020-12-24T16:56:39.960Z,17.9331,-66.8451,10,4.8,ml,19,194,0.2024,0.15,pr,pr2020359052,2020-12-25T17:03:39.901Z,"6 km SE of Maria Antonia, Puerto Rico",earthquake,0.37,0.48,0.29,16,reviewed,pr,pr
2020-12-24T14:57:24.135Z,-25.2125,179.9461,485.44,4.7,mb,,74,4.439,0.82,us,us6000d2kr,2020-12-24T15:16:00.040Z,"south of the Fiji Islands",earthquake,11.4,9.5,0.048,132,reviewed,us,us
2020-12-24T14:15:20.491Z,-31.3583,-72.2076,22.36,4.6,mww,,79,0.84,0.72,us,us6000d2kd,2020-12-24T14:41:17.860Z,"103 km WNW of Illapel, Chile",earthquake,5.5,5.1,0.089,12,reviewed,us,us
2020-12-24T08:09:48.440Z,25.6542,96.7113,10,4.9,mb,,68,2.608,0.85,us,us6000d2hz,2020-12-24T08:28:16.040Z,"61 km S of Sarupathar, India",earthquake,6.2,1.8,0.091,38,reviewed,us,us
2020-12-24T04:19:14.237Z,-55.8499,-26.013,10,5.1,mb,,111,6.219,0.98,us,us6000d2ee,2020-12-24T04:36:45.040Z,"South Sandwich Islands region",earthquake,14.1,1.9,0.104,32,reviewed,us,us
2020-12-24T03:54:33.989Z,-18.7313,-172.8831,10,4.9,mb,,105,4.91,0.68,us,us6000d2e9,2020-12-24T04:13:40.040Z,"116 km E of Neiafu, Tonga",earthquake,8.2,2,0.177,12,reviewed,us,us
2020-12-24T01:24:14.841Z,-0.2102,124.457,46.83,5.1,mww,,46,1.876,1.34,us,us6000d2dh,2020-12-24T01:41:06.040Z,"173 km SSW of Tomohon, Indonesia",earthquake,7.2,6.8,0.093,11,reviewed,us,us
2020-12-23T22:19:52.726Z,-4.5137,101.0367,10,5.2,mb,,63,1.919,0.84,us,us6000d2c8,2020-12-23T22:37:20.040Z,"157 km WSW of Bengkulu, Indonesia",earthquake,6.6,1.8,0.076,58,reviewed,us,us
2020-12-23T18:11:47.709Z,6.2703,133.6341,10,5.9,mww,,69,8.04,0.99,us,us6000d29t,2020-12-25T06:41:56.040Z,"89 km SW of Angaur State, Palau",earthquake,8.3,1.8,0.098,10,reviewed,us,us
2020-12-23T15:47:55.172Z,53.2603,-150.8489,10,4.5,ml,,,,1.4,ak,ak020ggblwwk,2020-12-23T23:26:06.143Z,"south of Alaska",earthquake,,0,,,reviewed,ak,ak
2020-12-23T14:58:25.154Z,38.4016,22.0462,9.56,4.8,mww,,37,1.224,0.68,us,us6000d28k,2020-12-24T06:58:20.790Z,"12 km NNE of Kamárai, Greece",earthquake,5.8,4.3,0.08,15,reviewed,us,us
2020-12-23T10:21:04.749Z,11.0772,-86.4825,31.4,4.6,mwr,,150,0.948,0.81,us,us6000d25u,2020-12-23T10:41:03.040Z,"69 km WSW of San Juan del Sur, Nicaragua",earthquake,6.7,6.2,0.057,30,reviewed,us,us
2020-12-23T04:02:17.859Z,45.5569,155.2462,10,4.7,mb,,180,7.726,0.56,us,us6000d235,2020-12-23T04:29:11.040Z,"east of the Kuril Islands",earthquake,11.3,2,0.127,19,reviewed,us,us
2020-12-23T00:51:21.931Z,8.3742,-103.0762,10,5.7,mww,,92,10.133,1.53,us,us6000d224,2020-12-24T00:54:33.650Z,"northern East Pacific Rise",earthquake,12.1,1.9,0.052,35,reviewed,us,us
2020-12-23T00:45:08.324Z,8.3627,-103.2369,10,5.7,mww,,94,10.212,1.24,us,us6000d223,2020-12-24T00:48:44.462Z,"northern East Pacific Rise",earthquake,11.5,1.9,0.047,43,reviewed,us,us
2020-12-22T22:45:01.529Z,33.9888,139.8144,119.98,4.5,mb,,155,0.871,0.34,us,us6000d1zs,2020-12-22T23:32:55.040Z,"110 km S of Tateyama, Japan",earthquake,9.3,6.6,0.099,30,reviewed,us,us
2020-12-22T20:27:24.721Z,36.9399,14.4546,33.02,4.5,mb,,44,0.291,1.1,us,us6000d1yt,2020-12-24T02:06:27.640Z,"5 km NNE of Scoglitti, Italy",earthquake,5.9,5,0.068,63,reviewed,us,us
2020-12-22T18:24:34.938Z,29.4205,128.8714,6.71,4.9,mww,,77,2.489,0.65,us,us6000d1y8,2020-12-22T18:54:26.040Z,"131 km NNW of Naze, Japan",earthquake,6.4,4.3,0.08,15,reviewed,us,us
2020-12-22T17:04:08.726Z,37.2759,141.2683,37.77,4.9,mb,,142,2.559,0.78,us,us6000d1xr,2020-12-23T09:18:29.117Z,"33 km SE of Namie, Japan",earthquake,8.4,8,0.102,30,reviewed,us,us
2020-12-22T14:00:31.364Z,-4.5246,101.0614,10,4.6,mb,,147,1.895,0.42,us,us6000d1w7,2020-12-22T14:27:13.040Z,"155 km WSW of Bengkulu, Indonesia",earthquake,10.3,1.9,0.132,17,reviewed,us,us
2020-12-22T13:37:54.282Z,10.0681,126.0826,60.92,5,mb,,63,3.02,0.6,us,us6000d1w4,2020-12-22T14:16:02.545Z,"7 km NE of Santa Monica, Philippines",earthquake,10.4,6.2,0.07,65,reviewed,us,us
2020-12-22T12:45:37.031Z,-32.5256,-70.5166,98.44,4.5,mb,,100,0.239,0.59,us,us6000d1w0,2020-12-22T17:57:22.932Z,"Chile-Argentina border region",earthquake,5.3,5.8,0.14,15,reviewed,us,us
2020-12-22T10:46:20.179Z,-3.71,-77.7264,49.24,4.5,mb,,129,1.965,0.7,us,us6000d1ue,2020-12-22T11:34:23.040Z,"100 km ESE of Gualaquiza, Ecuador",earthquake,5.4,9.7,0.076,51,reviewed,us,us
2020-12-22T05:03:02.210Z,-18.8486,169.3831,245.83,4.5,mb,,96,2.91,0.55,us,us6000d1t9,2020-12-22T13:38:17.040Z,"77 km N of Isangel, Vanuatu",earthquake,9,8.1,0.088,38,reviewed,us,us
2020-12-22T02:57:22.360Z,-23.9715,-66.9116,223.1,4.6,mb,,145,1.544,0.73,us,us6000d1su,2020-12-22T03:27:23.040Z,"66 km WNW of San Antonio de los Cobres, Argentina",earthquake,10.6,8.2,0.173,10,reviewed,us,us
2020-12-22T02:25:21.585Z,78.5862,-3.3556,10,5,mb,,46,4.003,0.65,us,us6000d1ss,2020-12-22T02:39:03.040Z,"Greenland Sea",earthquake,8.3,1.9,0.027,442,reviewed,us,us
2020-12-22T01:47:40.641Z,-58.8503,148.8969,10,5.4,mww,,117,15.992,0.96,us,us6000d1sl,2020-12-23T01:52:33.887Z,"west of Macquarie Island",earthquake,14.3,2,0.093,11,reviewed,us,us
2020-12-22T01:19:57.869Z,5.1855,125.2729,44.76,5,mb,,93,1.896,0.95,us,us6000d1sk,2020-12-22T01:46:18.040Z,"32 km SW of Sarangani, Philippines",earthquake,9,5.2,0.113,25,reviewed,us,us
2020-12-22T01:01:37.037Z,36.2072,69.2902,47.55,4.7,mb,,48,1.674,0.97,us,us6000d1si,2020-12-22T01:17:09.040Z,"21 km NE of Nahrīn, Afghanistan",earthquake,4.2,6.7,0.068,66,reviewed,us,us
2020-12-21T20:07:55.264Z,-29.6807,-177.0812,17.53,5,mww,,167,0.857,0.77,us,us6000d1r0,2020-12-22T19:03:21.040Z,"Kermadec Islands, New Zealand",earthquake,10.2,4.8,0.098,10,reviewed,us,us
2020-12-21T18:14:47.214Z,14.7467,121.6176,35,4.9,mb,,79,8.044,1.01,us,us6000d1q5,2020-12-25T00:01:02.879Z,"0 km SSW of Banugao, Philippines",earthquake,9.5,2,0.064,76,reviewed,us,us
2020-12-21T17:08:55.542Z,-16.381,-177.5097,10,5.7,mww,,126,2.144,1.31,us,us6000d1pw,2020-12-22T17:12:40.092Z,"237 km SSE of Alo, Wallis and Futuna",earthquake,9.2,1.8,0.056,31,reviewed,us,us
