time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-29T18:16:25.317Z,16.4145,-61.7586,103.02,4.5,mb,,52,0.125,0.89,us,us60008add,2020-05-19T22:14:30.040Z,"11km NW of Sainte-Rose, Guadeloupe",earthquake,5.5,4.4,0.065,73,reviewed,us,us
2020-02-29T17:14:29.377Z,-17.0727,-174.5241,90.63,4.5,mb,,111,4.108,0.68,us,us60008adh,2020-05-19T22:14:30.040Z,"149km SSW of Hihifo, Tonga",earthquake,8.6,11,0.15,15,reviewed,us,us
2020-02-29T16:17:05.575Z,-15.1553,-173.4624,10,4.6,mb,,105,5.16,1.35,us,us60008ada,2020-05-19T22:14:30.040Z,"93km NNE of Hihifo, Tonga",earthquake,8.4,1.9,0.157,12,reviewed,us,us
2020-02-29T13:46:42.809Z,-5.5432,151.2228,76.72,4.8,mb,,49,1.637,0.91,us,us600086xp,2020-05-19T22:14:12.040Z,"119km E of Kimbe, Papua New Guinea",earthquake,3.2,7.6,0.08,55,reviewed,us,us
2020-02-29T13:34:50.633Z,-20.6365,-114.0129,10,4.6,mb,,92,39.838,0.72,us,us60008ad5,2020-05-19T22:14:30.040Z,"Southern East Pacific Rise",earthquake,14.8,1.7,0.119,21,reviewed,us,us
2020-02-29T12:29:48.614Z,38.3449,39.2773,10,4.5,mb,,105,1.572,0.33,us,us600086w9,2020-05-19T22:14:12.040Z,"11km SSW of Sivrice, Turkey",earthquake,2.4,1.9,0.09,36,reviewed,us,us
2020-02-29T11:54:22.763Z,14.8409,-93.7741,35,4.6,mb,,103,1.012,0.69,us,us600086vt,2020-05-19T22:14:12.040Z,"111km SSW of Pijijiapan, Mexico",earthquake,6.6,2,0.033,268,reviewed,us,us
2020-02-29T09:28:25.915Z,3.14,128.1906,136.91,5.3,mww,,37,2.492,0.88,us,us600086um,2020-05-19T22:14:12.040Z,"157km N of Tobelo, Indonesia",earthquake,7.7,4.6,0.059,28,reviewed,us,us
2020-02-29T08:54:39.447Z,11.7633,139.8281,10,4.5,mb,,99,5.242,0.58,us,us60008acv,2020-05-19T22:14:29.040Z,"233km NNW of Fais, Micronesia",earthquake,11.3,1.1,0.096,33,reviewed,us,us
2020-02-29T08:06:10.519Z,5.8438,-77.6307,10,4.7,mb,,106,3.441,0.81,us,us600086tp,2020-05-19T22:14:11.040Z,"42km WNW of Nuqui, Colombia",earthquake,7.2,1.9,0.081,46,reviewed,us,us
2020-02-29T06:43:42.701Z,-22.0624,169.0609,10,4.9,mww,,59,1.119,1.08,us,us600086su,2020-05-19T22:14:11.040Z,"134km ESE of Tadine, New Caledonia",earthquake,8.8,1.9,0.073,18,reviewed,us,us
2020-02-29T04:18:43.413Z,0.3372,126.1868,10,4.5,mb,,89,1.256,0.33,us,us60008acw,2020-05-19T22:14:29.040Z,"140km WSW of Kota Ternate, Indonesia",earthquake,7.3,1.9,0.14,15,reviewed,us,us
2020-02-29T03:05:27.679Z,35.2199,-14.5698,10,4.8,mb,,63,5.022,0.81,us,us600086pq,2020-05-19T22:14:11.040Z,"287km NE of Camacha, Portugal",earthquake,9.5,1.8,0.045,153,reviewed,us,us
2020-02-29T02:25:21.428Z,10.5945,-62.4825,94.11,4.6,mb,,66,1.73,1.04,us,us600086p9,2020-05-19T22:14:11.040Z,"11km ENE of Irapa, Venezuela",earthquake,6.8,6.9,0.062,77,reviewed,us,us
2020-02-29T02:13:11.222Z,-31.4824,-68.7771,104.04,4.5,mb,,58,0.101,1.21,us,us600086p5,2020-05-19T22:14:11.040Z,"8km NNW of Zonda, Argentina",earthquake,8,5.9,0.099,30,reviewed,us,us
2020-02-29T01:57:09.831Z,-19.4385,-172.9909,10,5.1,mww,,80,2.916,1.35,us,us600086p0,2020-05-19T22:14:11.040Z,"136km SE of Neiafu, Tonga",earthquake,11.5,1.9,0.093,11,reviewed,us,us
2020-02-29T01:11:30.219Z,-21.9591,-68.485,101.57,4.5,mb,,33,0.721,0.74,us,us600086n3,2020-05-19T22:14:10.040Z,"72km NE of Calama, Chile",earthquake,5,5.9,0.118,21,reviewed,us,us
2020-02-29T00:34:17.265Z,-24.1447,-177.0872,115.18,4.7,mb,,50,5.135,1.35,us,us600086mr,2020-05-19T22:14:10.040Z,"South of the Fiji Islands",earthquake,9.4,5.1,0.103,29,reviewed,us,us
2020-02-28T23:09:09.612Z,55.7593,130.1317,10,4.5,mb,,45,6.295,0.64,us,us600086lg,2020-05-19T22:14:10.040Z,"289km NE of Zeya, Russia",earthquake,7.3,1.9,0.045,147,reviewed,us,us
2020-02-28T21:36:25.985Z,41.7724,81.0795,10,4.9,mb,,60,1.511,0.73,us,us600086h7,2020-05-19T22:14:09.040Z,"99km NE of Aksu, China",earthquake,6.7,1.8,0.039,212,reviewed,us,us
2020-02-28T18:47:58.682Z,-55.3469,-29.3883,10,5.3,mww,,44,4.243,0.67,us,us600086as,2020-05-19T22:14:08.040Z,"203km NW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,9.1,1.8,0.089,12,reviewed,us,us
2020-02-28T14:02:55.010Z,-3.9512,103.1177,93.99,5.1,mww,,28,0.437,0.77,us,us6000863e,2020-05-19T22:14:07.040Z,"18km WNW of Pagaralam, Indonesia",earthquake,8.5,4.2,0.078,16,reviewed,us,us
2020-02-28T13:34:48.915Z,26.9113,143.6198,10,4.5,mb,,145,1.293,0.58,us,us60008636,2020-05-19T22:14:07.040Z,"140km E of Chichi-shima, Japan",earthquake,9.2,1.9,0.097,31,reviewed,us,us
