time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-07-31T17:55:55.734Z,41.3008,140.2201,147.77,4.5,mb,,57,0.817,0.98,us,us6000b7j9,2020-10-10T17:11:05.040Z,"55 km NNW of Shimokizukuri, Japan",earthquake,6.8,5.2,0.04,191,reviewed,us,us
2020-07-31T17:48:27.597Z,-3.9068,151.3503,10,4.5,mb,,83,0.859,0.47,us,us6000ba2t,2020-10-10T17:11:17.040Z,"95 km WNW of Rabaul, Papua New Guinea",earthquake,6.6,1.9,0.088,41,reviewed,us,us
2020-07-31T17:06:00.724Z,-7.497,156.8102,403.49,5.2,mww,,25,3.654,0.83,us,us6000b7ib,2020-10-10T17:11:05.040Z,"67 km N of Gizo, Solomon Islands",earthquake,7.6,4.6,0.093,11,reviewed,us,us
2020-07-31T17:04:25.486Z,26.4534,130.0922,10,4.7,mww,,53,1.197,1.19,us,us6000b7ia,2020-10-10T17:11:05.040Z,"210 km E of Nago, Japan",earthquake,4.8,1.8,0.098,10,reviewed,us,us
2020-07-31T16:45:09.922Z,30.4288,94.841,10,4.9,mb,,159,3.299,0.81,us,us6000b7i6,2020-10-10T17:11:05.040Z,"215 km NNE of Shi Yomi, India",earthquake,9.6,1.9,0.042,176,reviewed,us,us
2020-07-31T16:17:16.202Z,-8.7809,152.7111,10,4.7,mb,,110,4.592,1.13,us,us6000b7hq,2020-10-10T17:11:05.040Z,"D'Entrecasteaux Islands region",earthquake,7.1,1.7,0.082,45,reviewed,us,us
2020-07-31T16:04:18.052Z,-5.6123,151.7881,35,5.2,mww,,31,1.46,1.25,us,us6000b7hg,2020-10-10T17:11:05.040Z,"150 km SSW of Kokopo, Papua New Guinea",earthquake,7,1.9,0.071,19,reviewed,us,us
2020-07-31T11:20:10.217Z,33.0674,86.7387,10,4.7,mb,,70,5.092,0.65,us,us6000b7e2,2020-10-10T17:11:05.040Z,"western Xizang",earthquake,8.3,1.1,0.047,137,reviewed,us,us
2020-07-31T10:48:18.436Z,-17.7723,-178.751,530.53,4.5,mb,,75,3.045,0.68,us,us6000b7dt,2020-10-10T17:11:05.040Z,"207 km E of Levuka, Fiji",earthquake,11.1,6.1,0.028,378,reviewed,us,us
2020-07-31T10:23:27.119Z,2.6446,66.5057,10,4.5,mb,,202,6.829,0.4,us,us6000ba2l,2020-10-10T17:11:17.040Z,"Carlsberg Ridge",earthquake,14.5,1.9,0.156,12,reviewed,us,us
2020-07-31T10:03:34.412Z,-14.1413,-72.8739,56.4,5,mww,,76,4.419,0.73,us,us6000b7d2,2020-10-10T17:11:05.040Z,"17 km ENE of Pachaconas, Peru",earthquake,7.5,5.2,0.083,14,reviewed,us,us
2020-07-31T10:02:16.044Z,-8.8214,152.7763,10,5.6,mww,,35,4.64,0.41,us,us6000b7d1,2020-10-10T17:11:04.040Z,"D'Entrecasteaux Islands region",earthquake,8.1,1.8,0.075,17,reviewed,us,us
2020-07-31T08:37:46.279Z,30.6545,141.7026,10,4.7,mb,,125,2.932,0.71,us,us6000b7cb,2020-10-10T17:11:04.040Z,"Izu Islands, Japan region",earthquake,8.8,1.9,0.1,30,reviewed,us,us
2020-07-31T06:06:41.589Z,8.5416,126.5987,28,5.7,mww,,32,1.777,0.97,us,us6000b7ai,2020-10-10T17:11:04.040Z,"34 km ENE of Hinatuan, Philippines",earthquake,8.2,1.9,0.052,36,reviewed,us,us
2020-07-31T05:16:29.362Z,30.6329,141.9556,10,4.9,mww,,117,3.073,0.78,us,us6000b7a6,2020-10-10T17:11:04.040Z,"Izu Islands, Japan region",earthquake,7.7,1.9,0.071,19,reviewed,us,us
2020-07-31T02:11:46.177Z,26.9282,129.419,10,4.8,mb,,77,1.028,1.09,us,us6000b795,2020-10-10T17:11:04.040Z,"146 km ENE of Nago, Japan",earthquake,6.2,1.9,0.06,85,reviewed,us,us
2020-07-31T00:00:46.469Z,-59.2549,-24.8023,10,4.5,mb,,83,8.12,0.74,us,us6000ba2e,2020-10-10T17:11:17.040Z,"South Sandwich Islands region",earthquake,5.9,1.9,0.076,51,reviewed,us,us
2020-07-30T20:04:01.969Z,-7.142,129.7001,75.35,4.5,mb,,39,1.791,1.01,us,us6000b73g,2020-10-10T17:11:04.040Z,"Kepulauan Babar, Indonesia",earthquake,8,6.8,0.08,46,reviewed,us,us
2020-07-30T19:16:50.124Z,-19.0784,-173.3356,10,5.7,mww,,32,3.223,0.96,us,us6000b72l,2020-10-10T17:11:04.040Z,"83 km SE of Neiafu, Tonga",earthquake,7.9,1.7,0.08,15,reviewed,us,us
2020-07-30T18:38:38.999Z,30.386,94.7527,10,4.8,mb,,69,3.216,0.65,us,us6000b71z,2020-10-10T17:11:03.040Z,"208 km N of Shi Yomi, India",earthquake,6.1,1.8,0.046,143,reviewed,us,us
2020-07-30T18:25:42.755Z,-14.0154,171.4548,10,4.7,mb,,61,7.351,0.94,us,us6000b9qg,2020-10-10T17:11:16.040Z,"Vanuatu region",earthquake,7.7,1.8,0.075,55,reviewed,us,us
2020-07-30T16:08:18.839Z,54.8358,-158.1711,33.9,5,ml,,,,1.93,ak,ak0209qvi9kl,2020-10-10T17:11:03.040Z,"134 km SSE of Perryville, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2020-07-30T13:09:51.603Z,13.9347,-93.5881,10,4.8,mb,,142,1.605,1.14,us,us6000b6sd,2020-10-10T17:11:03.040Z,"152 km SW of Puerto Madero, Mexico",earthquake,6.2,1.9,0.03,341,reviewed,us,us
2020-07-30T08:48:38.364Z,-6.5973,143.0586,10,4.9,mb,,32,4.926,0.86,us,us6000b6m9,2020-10-10T17:11:02.040Z,"82 km SW of Mendi, Papua New Guinea",earthquake,7.6,1.9,0.06,89,reviewed,us,us
2020-07-30T07:34:45.483Z,-10.2599,162.077,35,4.5,mb,,138,2.251,0.82,us,us6000b9q3,2020-10-10T17:11:16.040Z,"27 km NE of Kirakira, Solomon Islands",earthquake,6,1.9,0.139,15,reviewed,us,us
2020-07-30T07:09:39.760Z,-54.1389,-55.0602,10,4.8,mb,,85,3.065,0.67,us,us6000b6l5,2020-10-10T17:11:02.040Z,"Falkland Islands region",earthquake,6.3,1.7,0.065,74,reviewed,us,us
