time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-06-30T22:44:50.778Z,-20.8635,-178.5284,572.6,4.5,mb,,129,4.477,0.83,us,us7000ajct,2020-09-05T17:35:44.040Z,"Fiji region",earthquake,13.4,7.7,0.125,19,reviewed,us,us
2020-06-30T22:10:09.644Z,-19.5429,169.2234,98.54,5.1,mb,,100,2.228,0.92,us,us7000afhl,2020-09-05T17:35:38.040Z,"6 km W of Isangel, Vanuatu",earthquake,9.3,5.1,0.036,251,reviewed,us,us
2020-06-30T20:36:01.512Z,-5.791,70.3672,10,4.6,mb,,54,2.624,1.15,us,us7000ajcu,2020-09-05T17:35:44.040Z,"Chagos Archipelago region",earthquake,7.9,1.1,0.071,59,reviewed,us,us
2020-06-30T18:02:28.856Z,33.1193,75.8744,43.89,4.7,mb,,30,5.588,0.98,us,us7000afay,2020-12-17T18:28:05.658Z,"21 km NE of Bhadarwāh, India",earthquake,7.1,6.3,0.043,172,reviewed,us,us
2020-06-30T17:29:23.732Z,-14.9632,167.4501,128.27,4.5,mb,,108,6.321,0.97,us,us7000afa3,2020-09-05T17:35:37.040Z,"41 km ENE of Port-Olry, Vanuatu",earthquake,9.7,5.4,0.077,60,reviewed,us,us
2020-06-30T17:26:51.622Z,-21.7973,-176.3671,146.54,4.5,mb,,105,6.617,0.98,us,us7000afas,2020-09-05T17:35:37.040Z,"139 km WSW of Haveluloto, Tonga",earthquake,13,5.7,0.093,34,reviewed,us,us
2020-06-30T15:48:45.013Z,50.8123,157.0508,69.24,4.7,mb,,110,2.334,0.6,us,us7000af6i,2020-09-05T17:35:37.040Z,"66 km ENE of Severo-Kuril’sk, Russia",earthquake,6.4,5.1,0.038,212,reviewed,us,us
2020-06-30T14:45:12.742Z,12.6938,-89.3434,35,4.6,mb,,186,1.695,1.03,us,us7000af4e,2020-09-05T17:35:37.040Z,"87 km S of La Libertad, El Salvador",earthquake,8.7,2,0.043,161,reviewed,us,us
2020-06-30T12:56:53.838Z,33.8292,141.6381,10,4.9,mb,,123,1.682,0.65,us,us7000af2j,2020-09-05T17:35:36.040Z,"190 km SE of Katsuura, Japan",earthquake,5.4,1.9,0.034,307,reviewed,us,us
2020-06-30T12:10:47.031Z,-24.2981,-67.2042,174.97,4.5,mb,,43,1.61,0.83,us,us7000af0n,2020-09-05T17:35:36.040Z,"90 km W of San Antonio de los Cobres, Argentina",earthquake,7.6,6.7,0.124,19,reviewed,us,us
2020-06-30T09:24:23.549Z,38.1539,-117.9583,8.3,5,ml,28,44.32,0.015,0.2511,nn,nn00755218,2020-09-05T17:35:36.040Z,"63km WNW of Tonopah, Nevada",earthquake,,0.9,0.28,7,reviewed,nn,nn
2020-06-30T06:27:10.853Z,-8.35,121.4732,183.3,4.9,mww,,31,0.807,0.88,us,us7000aewi,2020-09-05T17:35:35.040Z,"58 km NNW of Ende, Indonesia",earthquake,6,4.3,0.078,16,reviewed,us,us
2020-06-30T05:44:53.908Z,-33.9786,-177.3044,10,5,mb,,60,4.749,0.47,us,us7000aevw,2020-09-05T17:35:35.040Z,"south of the Kermadec Islands",earthquake,4.7,1.8,0.069,68,reviewed,us,us
2020-06-30T02:46:09.567Z,-11.2196,162.5099,10,4.7,mb,,99,3.08,0.75,us,us7000ajc2,2020-09-05T17:35:44.040Z,"106 km SE of Kirakira, Solomon Islands",earthquake,10.7,1.8,0.11,25,reviewed,us,us
2020-06-30T01:58:30.317Z,6.9303,116.3824,620.54,4.9,mb,,31,0.895,0.63,us,us7000ajc1,2020-09-05T17:35:43.040Z,"48 km W of Kudat, Malaysia",earthquake,8.1,4.7,0.051,119,reviewed,us,us
2020-06-30T01:57:12.518Z,48.7273,154.9816,51.34,4.6,mb,,138,4.711,0.95,us,us7000aetu,2020-09-05T17:35:35.040Z,"231 km SSW of Severo-Kuril’sk, Russia",earthquake,11.6,7.7,0.101,29,reviewed,us,us
2020-06-30T01:54:30.978Z,13.1582,146.2587,10,4.6,mb,,143,1.419,0.56,us,us7000aetv,2020-09-05T17:35:35.040Z,"154 km ESE of Yigo Village, Guam",earthquake,5.3,1.9,0.086,40,reviewed,us,us
2020-06-30T01:19:38.195Z,37.1017,142.3757,35,4.5,mb,,135,3.389,0.68,us,us7000ajbz,2020-09-05T17:35:43.040Z,"129 km ESE of Namie, Japan",earthquake,8.8,2,0.106,26,reviewed,us,us
2020-06-29T22:28:01.811Z,11.4706,-87.8791,10,5.1,mww,,66,1.733,0.92,us,us7000aerg,2020-09-05T17:35:34.040Z,"135 km SW of Corinto, Nicaragua",earthquake,6.7,1.8,0.044,49,reviewed,us,us
