time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-05-31T23:59:02.351Z,27.7516,53.3194,10,4.9,mww,,20,3.809,0.67,us,us6000a3db,2020-08-15T20:19:59.040Z,"48 km ENE of Mohr, Iran",earthquake,7,1.7,0.093,11,reviewed,us,us
2020-05-31T23:25:43.545Z,-23.9036,-176.6033,128,5.8,mww,,30,5.45,0.98,us,us6000a3cn,2020-08-15T20:19:59.040Z,"south of the Fiji Islands",earthquake,7.7,1.8,0.047,44,reviewed,us,us
2020-05-31T21:04:56.317Z,-17.3363,167.8773,10,4.6,mb,,142,4.125,0.98,us,us6000a6lj,2020-08-15T20:19:58.040Z,"64 km NW of Port-Vila, Vanuatu",earthquake,9.6,1.8,0.151,13,reviewed,us,us
2020-05-31T21:02:11.329Z,36.2034,140.3648,98.61,5.2,mww,,52,0.143,0.7,us,us6000a3az,2020-08-15T20:19:58.040Z,"9 km ENE of Ishioka, Japan",earthquake,5.8,3.7,0.062,25,reviewed,us,us
2020-05-31T20:50:04.698Z,-17.3877,167.6452,10,4.7,mb,,169,4.088,1.14,us,us6000a3ay,2020-08-15T20:19:58.040Z,"80 km WNW of Port-Vila, Vanuatu",earthquake,10.5,1.9,0.123,20,reviewed,us,us
2020-05-31T13:03:58.927Z,10.8899,92.5217,8.42,4.7,mb,,65,0.791,0.61,us,us6000a6l9,2020-08-15T20:19:57.040Z,"89 km SSW of Port Blair, India",earthquake,4.1,4.6,0.13,24,reviewed,us,us
2020-05-31T12:26:02.823Z,-15.522,168.1647,10,4.7,mb,,53,5.928,0.63,us,us6000a366,2020-08-15T20:19:57.040Z,"101 km NE of Norsup, Vanuatu",earthquake,8.6,1.9,0.095,34,reviewed,us,us
2020-05-31T11:11:38.446Z,-15.4846,168.2864,10,5,mb,,109,5.969,0.53,us,us6000a353,2020-08-15T20:19:57.040Z,"114 km NE of Norsup, Vanuatu",earthquake,9.9,1.9,0.082,47,reviewed,us,us
2020-05-31T07:44:23.846Z,19.9854,-72.4136,10,4.7,mb,,64,1.457,0.94,us,us6000a33a,2020-08-15T20:19:56.040Z,"19 km NE of Borgne, Haiti",earthquake,4.3,1.9,0.03,338,reviewed,us,us
2020-05-31T05:09:38.593Z,-15.3256,-70.7731,186,6.1,mww,,73,2.57,0.77,us,us6000a316,2020-08-15T20:19:55.040Z,"43 km W of Lampa, Peru",earthquake,5.1,1.8,0.039,63,reviewed,us,us
2020-05-31T03:57:46.343Z,-10.1655,-76.2553,40.51,4.5,mb,,145,3.679,1.03,us,us6000a30l,2020-08-15T20:19:55.040Z,"6 km SW of Ambo, Peru",earthquake,9.3,8,0.089,37,reviewed,us,us
2020-05-31T03:53:29.134Z,-22.032,169.3839,10,4.5,mb,,131,1.372,0.76,us,us6000a6kw,2020-08-15T20:19:55.040Z,"164 km ESE of Tadine, New Caledonia",earthquake,5.9,1.9,0.171,10,reviewed,us,us
2020-05-31T03:05:22.243Z,-23.0922,-179.4118,527.17,4.5,mb,,101,5.827,0.95,us,us6000a2z6,2020-08-15T20:19:55.040Z,"south of the Fiji Islands",earthquake,10.1,4.4,0.071,58,reviewed,us,us
2020-05-31T02:19:05.376Z,-21.8538,-68.5736,136.97,4.6,mb,,36,0.623,0.97,us,us6000a2yf,2020-08-15T20:19:55.040Z,"75 km NNE of Calama, Chile",earthquake,6,6.6,0.193,9,reviewed,us,us
2020-05-31T01:42:42.381Z,-16.8472,-69.5555,198.72,4.5,mb,,122,0.741,0.79,us,us6000a6l3,2020-08-15T20:19:54.040Z,"63 km WSW of Desaguadero, Peru",earthquake,9.6,8,0.156,12,reviewed,us,us
2020-05-31T00:32:01.813Z,8.0532,-39.1316,10,5.2,mww,,24,13.738,0.56,us,us6000a2x7,2020-08-15T20:19:54.040Z,"central Mid-Atlantic Ridge",earthquake,9.3,1.8,0.06,27,reviewed,us,us
2020-05-30T23:44:09.412Z,-31.2337,-68.9638,106.76,4.5,mb,,44,0.392,0.92,us,us6000a2wa,2020-08-15T20:19:54.040Z,"41 km NNW of Villa Basilio Nievas, Argentina",earthquake,5.4,4.5,0.081,45,reviewed,us,us
