time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-31T23:52:30.781Z,44.4646,-115.1175,12.06,6.5,mww,,31,0.885,0.66,us,us70008jr5,2020-12-23T00:02:47.004Z,"70km W of Challis, Idaho",earthquake,8.5,3.8,0.021,212,reviewed,us,us
2020-03-31T20:33:27.671Z,-16.6251,-173.6287,77.08,4.8,mb,,69,3.235,0.89,us,us70008jl0,2020-06-13T18:44:33.040Z,"75km S of Hihifo, Tonga",earthquake,7.5,5.4,0.031,323,reviewed,us,us
2020-03-31T18:40:10.094Z,-5.456,153.671,44.41,4.5,mb,,98,1.958,0.77,us,us70008mt0,2020-06-13T18:44:44.040Z,"130km SSE of Taron, Papua New Guinea",earthquake,7.4,4,0.085,40,reviewed,us,us
2020-03-31T16:38:44.472Z,24.741,128.0121,10,4.5,mb,,82,2.099,0.44,us,us70008jbj,2020-06-13T18:44:35.040Z,"157km SSE of Itoman, Japan",earthquake,8,1.9,0.104,27,reviewed,us,us
2020-03-31T15:43:32.034Z,-41.5599,84.9867,10,4.6,mb,,66,6.844,0.86,us,us70008msy,2020-06-13T18:44:36.040Z,"Southeast Indian Ridge",earthquake,9.1,1.9,0.146,14,reviewed,us,us
2020-03-31T11:24:00.075Z,36.3855,141.1553,36.14,4.9,mb,,121,2.349,0.68,us,us70008j5w,2020-06-17T06:30:17.269Z,"50km E of Oarai, Japan",earthquake,7.3,5.4,0.034,265,reviewed,us,us
2020-03-31T08:16:59.018Z,-20.5557,169.3136,40.16,4.5,mb,,113,1.511,0.84,us,us70008msr,2020-06-13T18:44:30.040Z,"111km S of Isangel, Vanuatu",earthquake,13.3,3.6,0.131,17,reviewed,us,us
2020-03-31T08:05:33.080Z,-7.6283,127.4063,167.45,4.8,mb,,29,3.754,0.81,us,us70008j34,2020-06-13T18:44:47.040Z,"226km ENE of Dili, East Timor",earthquake,6.5,5.8,0.073,59,reviewed,us,us
2020-03-31T07:27:56.513Z,4.6593,125.3566,25.59,4.7,mb,,106,2.404,1.31,us,us70008j2u,2020-06-13T18:44:39.040Z,"83km S of Sarangani, Philippines",earthquake,2.8,6.3,0.078,50,reviewed,us,us
2020-03-31T02:40:06.489Z,-30.3036,60.4196,10,4.6,mb,,111,13.04,0.51,us,us70008msk,2020-06-13T18:44:34.040Z,"Southwest Indian Ridge",earthquake,14.4,1.9,0.173,10,reviewed,us,us
2020-03-30T22:33:43.437Z,1.7209,-101.1035,10,4.5,mb,,69,20.972,0.64,us,us70008iww,2020-06-13T18:44:51.040Z,"Galapagos Triple Junction region",earthquake,15.7,1.9,0.048,126,reviewed,us,us
2020-03-30T22:05:32.068Z,33.8485,141.6871,10,4.5,mb,,112,1.727,1,us,us70008iwi,2020-06-13T18:44:43.040Z,"191km SE of Katsuura, Japan",earthquake,7.1,1.8,0.098,31,reviewed,us,us
2020-03-30T21:01:35.811Z,-9.2256,123.8071,102.95,4.9,mb,,61,0.695,1.2,us,us70008iul,2020-06-13T18:44:33.040Z,"41km N of Naisano Dua, Indonesia",earthquake,7,6.5,0.086,43,reviewed,us,us
2020-03-30T18:25:59.740Z,-13.7547,66.1595,10,4.7,mb,,70,13.87,1.23,us,us70008mnp,2020-06-13T18:44:46.040Z,"Mid-Indian Ridge",earthquake,4.7,1.8,0.081,46,reviewed,us,us
2020-03-30T17:54:40.558Z,-13.7624,66.1511,10,5.6,mww,,70,6.527,1.28,us,us70008iqd,2020-06-13T18:44:46.040Z,"Mid-Indian Ridge",earthquake,6.1,1.8,0.068,21,reviewed,us,us
2020-03-30T17:15:08.557Z,10.431,-86.2886,10,4.6,mb,,159,0.783,1.14,us,us70008ipe,2020-06-13T18:44:43.040Z,"70km W of Sardinal, Costa Rica",earthquake,5.2,1.9,0.066,69,reviewed,us,us
2020-03-30T16:47:20.698Z,11.6695,-86.7406,67.04,4.7,mb,,88,0.637,0.81,us,us70008ip1,2020-06-13T18:44:45.040Z,"27km WSW of Masachapa, Nicaragua",earthquake,6.3,2.3,0.049,127,reviewed,us,us
2020-03-30T15:52:49.118Z,23.9879,123.4477,33.06,5.3,mww,,67,0.621,0.67,us,us70008ing,2020-06-13T18:44:34.040Z,"69km SE of Yonakuni, Japan",earthquake,6.4,4.4,0.066,22,reviewed,us,us
2020-03-30T15:42:33.456Z,36.6765,71.0957,214.05,4.9,mww,,43,2.087,0.75,us,us70008in9,2020-06-13T18:44:56.040Z,"31km SE of Jarm, Afghanistan",earthquake,6.9,6.4,0.098,10,reviewed,us,us
2020-03-30T14:53:34.027Z,-26.9671,-71.2715,10,4.5,mwr,,149,0.401,1.13,us,us70008imv,2020-06-13T18:44:43.040Z,"102km WNW of Copiapo, Chile",earthquake,4.5,1.8,,,reviewed,us,guc
2020-03-30T14:48:41.374Z,-9.648,112.9979,49.18,4.5,mb,,117,1.633,0.81,us,us70008mnl,2020-06-13T18:44:37.040Z,"141km SSE of Krajan Tambakrejo, Indonesia",earthquake,8.7,8.5,0.1,29,reviewed,us,us
2020-03-30T14:47:42.076Z,82.7787,-26.3046,10,4.6,mb,,48,7.048,0.56,us,us70008imu,2020-06-13T18:44:44.040Z,"174km NW of Nord, Greenland",earthquake,6.5,1.6,0.046,141,reviewed,us,us
2020-03-30T13:49:10.499Z,12.2224,142.8024,88.67,4.5,mb,,94,2.429,0.4,us,us70008mnj,2020-06-13T18:44:46.040Z,"233km WSW of Merizo Village, Guam",earthquake,10.9,8.3,0.135,16,reviewed,us,us
2020-03-30T09:09:05.891Z,0.2895,-77.6885,130.93,5.2,mww,,43,0.764,0.74,us,us70008ikp,2020-06-13T18:44:34.040Z,"33km ESE of Pimampiro, Ecuador",earthquake,6.4,4.7,0.041,56,reviewed,us,us
2020-03-30T08:21:15.098Z,53.6246,-166.2064,86.93,4.8,mww,,81,0.283,0.72,us,us70008ik0,2020-06-13T18:44:51.040Z,"35km SE of Unalaska, Alaska",earthquake,5.6,3.9,0.065,23,reviewed,us,us
2020-03-30T08:21:00.326Z,40.1697,111.842,10,4.5,mb,,59,3.321,0.57,us,us70008j19,2020-06-13T18:44:45.040Z,"28km NNW of Pendiqing, China",earthquake,7.2,1.9,0.093,34,reviewed,us,us
2020-03-30T06:44:27.186Z,-56.0767,-60.1829,10,5,mb,,102,4.387,0.71,us,us70008iiz,2020-06-13T18:44:53.040Z,"Drake Passage",earthquake,3.8,1.8,0.075,56,reviewed,us,us
2020-03-30T05:08:18.698Z,16.4346,-98.8845,10,4.7,mb,,134,0.382,0.84,us,us70008iib,2020-06-13T18:44:43.040Z,"16km WSW of Tecoanapa, Mexico",earthquake,4.8,1.9,0.027,409,reviewed,us,us
2020-03-29T20:26:02.806Z,13.5869,-91.4015,35,4.7,mb,,196,0.974,1.33,us,us70008iee,2020-06-13T18:44:43.040Z,"66km SW of La Gomera, Guatemala",earthquake,8,2,0.034,267,reviewed,us,us
2020-03-29T19:02:40.401Z,30.8488,-41.3368,10,4.7,mb,,184,14.768,1.22,us,us70008lpx,2020-06-13T18:44:44.040Z,"Northern Mid-Atlantic Ridge",earthquake,8.2,2,0.091,37,reviewed,us,us
