time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-30T23:02:39.988Z,-24.4021,-67.2808,175.9,4.7,mwr,,70,1.661,1.21,us,us7000clcm,2020-12-11T03:55:57.040Z,"99 km WSW of San Antonio de los Cobres, Argentina",earthquake,8,8.4,,,reviewed,us,guc
2020-11-30T22:55:03.900Z,-24.3318,-67.0203,189,6.3,mww,,32,1.736,1.1,us,us7000clbs,2020-12-03T23:17:30.381Z,"72 km W of San Antonio de los Cobres, Argentina",earthquake,7.8,1.9,0.043,52,reviewed,us,us
2020-11-30T22:54:34.601Z,48.2521,140.7971,589,6.4,mww,,26,1.854,0.94,us,us7000clbu,2020-12-03T23:37:56.174Z,"88 km SSE of Sovetskaya Gavan’, Russia",earthquake,6,1.9,0.04,60,reviewed,us,us
2020-11-30T21:35:51.147Z,51.2937,173.3963,27.02,4.6,mb,,104,1.502,0.64,us,us7000claq,2020-12-14T00:27:48.040Z,"173 km S of Attu Station, Alaska",earthquake,8.3,4,0.043,164,reviewed,us,us
2020-11-30T19:36:26.410Z,-8.113,159.1833,2.66,4.5,mb,,122,1.518,0.37,us,us7000cmlm,2020-12-11T15:16:04.040Z,"45 km W of Buala, Solomon Islands",earthquake,10.3,5.3,0.191,9,reviewed,us,us
2020-11-30T19:14:14.989Z,-2.8383,147.7296,10,5.3,mwb,,63,0.869,1.17,us,us7000cl94,2020-12-10T15:21:29.542Z,"102 km SSE of Lorengau, Papua New Guinea",earthquake,7.4,1.9,0.073,18,reviewed,us,us
2020-11-30T17:14:12.006Z,3.067,96.1349,27.89,5,mb,,59,2.267,0.75,us,us7000cl7y,2020-12-10T15:16:18.040Z,"70 km NNW of Sinabang, Indonesia",earthquake,7.2,4.9,0.067,71,reviewed,us,us
2020-11-30T17:00:06.860Z,52.8982,-168.3,45.92,4.8,mb,,106,0.509,0.76,us,us7000cl7q,2020-12-11T22:39:08.917Z,"38 km E of Nikolski, Alaska",earthquake,7.1,4.3,0.03,349,reviewed,us,us
2020-11-30T16:49:59.089Z,-14.0916,167.7875,10,4.5,mb,,94,1.461,1.01,us,us7000cmlr,2020-12-06T21:47:49.040Z,"34 km SE of Sola, Vanuatu",earthquake,11.8,1.9,0.192,11,reviewed,us,us
2020-11-30T16:36:18.163Z,7.306,-82.3796,10,4.6,mb,,73,1.509,0.53,us,us7000cl6i,2020-12-06T21:28:13.040Z,"96 km SSE of Punta de Burica, Panama",earthquake,8,1.8,0.043,160,reviewed,us,us
2020-11-30T15:03:30.591Z,2.1978,128.4518,71.19,4.7,mb,,108,1.784,0.68,us,us7000cmlg,2020-12-06T21:23:41.040Z,"71 km NE of Tobelo, Indonesia",earthquake,7.7,9.5,0.173,13,reviewed,us,us
2020-11-30T14:46:24.453Z,53.9734,158.4556,167.35,4.5,mb,,85,0.959,0.55,us,us7000cl60,2020-12-06T21:08:17.040Z,"81 km S of Mil’kovo, Russia",earthquake,10,6.3,0.055,99,reviewed,us,us
2020-11-30T13:58:26.690Z,40.5863,63.4135,10,4.6,mb,,74,5.684,0.98,us,us7000cl5r,2020-12-06T20:10:24.040Z,"50 km N of Gazli, Uzbekistan",earthquake,5.9,1.8,0.107,26,reviewed,us,us
2020-11-30T13:40:27.759Z,-15.652,167.7914,43.69,4.7,mb,,68,0.602,0.65,us,us7000cmle,2020-12-06T19:45:25.040Z,"62 km NE of Norsup, Vanuatu",earthquake,5.3,8.1,0.133,17,reviewed,us,us
2020-11-30T13:03:58.846Z,-6.0057,128.5153,307.65,4.6,mb,,46,3.389,0.35,us,us7000cmld,2020-12-06T17:35:43.040Z,"258 km S of Ambon, Indonesia",earthquake,7,6.9,0.107,26,reviewed,us,us
2020-11-30T11:12:41.386Z,18.2794,-71.3801,10,4.5,mwr,,46,0.163,0.64,us,us7000cl4u,2020-12-23T16:08:18.134Z,"6 km W of Las Salinas, Dominican Republic",earthquake,4.4,1.8,0.06,27,reviewed,us,us
2020-11-30T07:12:33.021Z,-20.5865,-178.367,566.52,4.5,mb,,99,4.409,0.59,us,us7000cl3a,2020-12-23T15:15:01.040Z,"Fiji region",earthquake,12.3,7.3,0.033,263,reviewed,us,us
2020-11-30T04:59:09.921Z,52.74,-168.2654,34,5.5,mww,,106,0.657,1.18,us,us7000cl2f,2020-12-14T00:30:45.698Z,"45 km ESE of Nikolski, Alaska",earthquake,6.3,1.8,0.034,83,reviewed,us,us
2020-11-30T00:37:04.394Z,-17.5311,-174.6434,10,5,mb,,120,4.534,0.78,us,us7000cl0u,2020-12-06T00:32:47.040Z,"142 km NNW of Neiafu, Tonga",earthquake,10,1.8,0.046,149,reviewed,us,us
2020-11-29T23:56:54.301Z,-17.7046,-174.7877,10,5.6,mww,,35,4.656,0.78,us,us7000cl0j,2020-12-01T00:00:24.507Z,"134 km NW of Neiafu, Tonga",earthquake,8.2,1.2,0.08,15,reviewed,us,us
