time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-31T21:38:01.945Z,-9.1872,108.9762,37.09,4.5,mb,,119,1.986,0.67,us,us7000c8rt,2020-11-12T00:18:53.401Z,"174 km S of Kroya, Indonesia",earthquake,7.6,6.1,0.094,33,reviewed,us,us
2020-10-31T21:04:03.782Z,-55.734,-27.1091,19.69,5.1,mb,,46,5.589,0.67,us,us7000c8rj,2020-11-11T22:44:35.040Z,"South Sandwich Islands region",earthquake,10.1,3.2,0.073,62,reviewed,us,us
2020-10-31T16:59:40.590Z,34.1948,78.1585,10,4.5,mb,,129,4.101,1.05,us,us7000c8na,2020-12-13T18:00:13.040Z,"53 km E of Leh, India",earthquake,7,1.9,0.113,23,reviewed,us,us
2020-10-31T13:41:44.019Z,-6.6956,125.1462,563.97,4.5,mb,,37,3.162,1,us,us7000c8mf,2020-11-30T15:32:40.040Z,"210 km N of Likisá, Timor Leste",earthquake,10.8,3.1,0.088,38,reviewed,us,us
2020-10-31T11:38:36.001Z,-61.1362,154.0186,10,4.5,mb,,137,16.661,0.83,us,us7000cavd,2020-11-29T11:31:42.040Z,"Balleny Islands region",earthquake,15.3,1.9,0.113,23,reviewed,us,us
2020-10-31T11:08:35.990Z,-21.737,-68.5078,120.4,4.5,mb,,42,0.684,0.6,us,us7000c8lp,2020-12-01T08:07:08.040Z,"90 km NNE of Calama, Chile",earthquake,6.5,7,0.163,11,reviewed,us,us
2020-10-31T10:15:26.312Z,-22.1234,-179.1797,549.49,5.1,mb,,87,5.074,1.12,us,us7000c8lj,2020-11-27T11:12:18.040Z,"south of the Fiji Islands",earthquake,9.8,5.7,0.079,52,reviewed,us,us
2020-10-31T07:41:40.694Z,-62.3429,-58.2401,10,5.2,mww,,74,0.224,0.56,us,us7000c8kb,2020-11-19T07:12:34.040Z,"South Shetland Islands",earthquake,5.4,1.9,0.078,16,reviewed,us,us
2020-10-31T07:34:05.786Z,-62.3012,-58.1926,10,4.5,mb,,81,0.229,1.22,us,us7000c8l1,2020-11-19T07:10:13.040Z,"South Shetland Islands",earthquake,3.1,1.9,0.135,16,reviewed,us,us
2020-10-31T07:20:38.829Z,9.4058,-8.5545,10,4.5,mb,,88,4.56,0.52,us,us7000cav6,2020-11-19T07:04:12.040Z,"53 km ENE of Kérouané, Guinea",earthquake,12,1.9,0.156,12,reviewed,us,us
2020-10-31T06:22:53.974Z,-62.2866,-58.2523,9.6,4.7,mb,,61,0.198,0.67,us,us7000c8k0,2020-11-18T09:16:36.040Z,"South Shetland Islands",earthquake,6,2.2,0.104,28,reviewed,us,us
2020-10-31T05:36:09.614Z,54.4997,-159.3065,35.51,4.7,mwr,,151,0.37,0.75,us,us7000c8jt,2020-11-18T09:13:34.040Z,"120 km SE of Sand Point, Alaska",earthquake,5,7.1,0.098,10,reviewed,us,us
2020-10-31T05:31:30.230Z,37.8579,26.8344,5.12,4.9,mww,,39,1.498,0.5,us,us7000c8jq,2020-11-18T09:11:52.809Z,"10 km NNW of Kokkári, Greece",earthquake,4.1,4.8,0.052,36,reviewed,us,us
2020-10-31T03:54:34.070Z,71.3873,-3.7009,10,4.5,mb,,91,6.041,0.93,us,us7000cavb,2020-11-26T02:33:38.040Z,"188 km ENE of Olonkinbyen, Svalbard and Jan Mayen",earthquake,6,1.9,0.156,13,reviewed,us,us
2020-10-31T02:49:49.417Z,14.1868,120.7014,165.98,4.5,mb,,98,3.354,0.65,us,us7000c8hd,2020-11-26T02:24:56.040Z,"6 km W of Magallanes, Philippines",earthquake,9.4,4.6,0.054,102,reviewed,us,us
2020-10-31T01:44:26.277Z,-23.7825,-179.769,504.96,4.5,mb,,80,5.684,0.91,us,us7000c8gu,2020-11-26T02:21:58.040Z,"south of the Fiji Islands",earthquake,11.2,6.5,0.043,162,reviewed,us,us
2020-10-30T23:46:45.663Z,71.4672,-3.3066,10,5.3,mww,,27,8.42,0.76,us,us7000c8gc,2020-11-21T22:33:32.040Z,"203 km ENE of Olonkinbyen, Svalbard and Jan Mayen",earthquake,7.1,1.7,0.046,46,reviewed,us,us
2020-10-30T22:56:47.691Z,71.5439,-3.2981,10,5.6,mww,,30,8.351,0.73,us,us7000c8fy,2020-12-10T21:45:22.608Z,"Jan Mayen Island region",earthquake,6.8,1.7,0.043,52,reviewed,us,us
2020-10-30T20:32:46.000Z,13.1321,125.6668,24.12,4.6,mb,,122,6.025,0.67,us,us7000cat8,2020-12-02T18:10:08.040Z,"83 km NE of Cabatuan, Philippines",earthquake,4.3,5,0.07,66,reviewed,us,us
2020-10-30T20:12:37.504Z,38.9056,75.7044,10,4.8,mb,,39,3.245,0.68,us,us7000c8cm,2020-12-02T17:34:28.040Z,"67 km SSW of Kashgar, China",earthquake,2.7,1.9,0.067,74,reviewed,us,us
2020-10-30T19:04:55.489Z,-4.82,128.1626,10,4.6,mb,,39,4.425,0.83,us,us7000c89v,2020-12-01T22:55:17.040Z,"124 km S of Ambon, Indonesia",earthquake,4.9,1.9,0.082,47,reviewed,us,us
2020-10-30T18:37:51.662Z,-8.7661,161.0861,10,4.6,mb,,72,1.308,1.06,us,us7000cat0,2020-12-01T22:43:49.040Z,"42 km E of Auki, Solomon Islands",earthquake,5.5,1.9,0.107,27,reviewed,us,us
2020-10-30T18:27:35.587Z,1.3981,126.4018,47.99,4.5,mb,,81,1.147,0.7,us,us7000c84z,2020-12-01T22:02:23.040Z,"Molucca Sea",earthquake,7.4,7.3,0.102,32,reviewed,us,us
2020-10-30T18:24:41.673Z,-10.1576,-75.1746,36,5.5,mww,,69,2.446,0.72,us,us7000c84t,2020-12-01T18:15:01.391Z,"52 km NNE of Oxapampa, Peru",earthquake,6.3,1.9,0.093,11,reviewed,us,us
2020-10-30T18:01:43.014Z,-5.6042,142.2062,23.27,5.1,mb,,27,3.415,0.94,us,us7000c84i,2020-12-01T15:19:27.040Z,"86 km WNW of Tari, Papua New Guinea",earthquake,6.9,1.2,0.054,120,reviewed,us,us
2020-10-30T15:51:35.624Z,36.4625,71.1738,204.36,4.5,mb,,75,2.588,1.05,us,us7000c80k,2020-11-30T15:19:15.040Z,"40 km SW of Ashkāsham, Afghanistan",earthquake,9.3,11,0.191,8,reviewed,us,us
2020-10-30T15:19:15.900Z,37.7426,26.9558,10,4.8,mb,,39,1.467,1.14,us,us7000cat9,2020-11-05T15:43:57.040Z,"2 km SW of Samos, Greece",earthquake,2.4,1.9,0.139,16,reviewed,us,us
2020-10-30T15:14:55.944Z,37.8316,26.8249,10,5.3,mww,,38,1.516,1.22,us,us7000c7zh,2020-11-05T15:36:46.349Z,"8 km NW of Kokkári, Greece",earthquake,5,1.8,0.098,10,reviewed,us,us
2020-10-30T14:47:03.412Z,-10.6175,161.3826,50.72,4.5,mb,,166,1.835,1.01,us,us7000c7z7,2020-12-01T08:02:49.040Z,"61 km WSW of Kirakira, Solomon Islands",earthquake,9.3,9.6,0.139,15,reviewed,us,us
2020-10-30T13:13:57.695Z,-62.8005,-158.4908,10,4.5,mb,,177,18.561,0.49,us,us7000casl,2020-11-28T12:37:06.040Z,"Pacific-Antarctic Ridge",earthquake,18.8,1.9,0.144,14,reviewed,us,us
2020-10-30T13:01:20.389Z,-12.2459,166.9152,228.39,4.7,mb,,102,3.194,0.77,us,us7000c7yl,2020-12-01T07:34:31.040Z,"193 km NNW of Sola, Vanuatu",earthquake,13.8,7.8,0.051,119,reviewed,us,us
2020-10-30T13:00:43.929Z,37.8551,26.8766,10,4.9,mb,,57,1.469,1.08,us,us7000c7ye,2020-12-01T07:22:59.040Z,"8 km N of Kokkári, Greece",earthquake,5.3,1.9,0.109,26,reviewed,us,us
2020-10-30T11:51:27.365Z,37.9125,26.779,21,7,mww,,18,1.515,0.61,us,us7000c7y0,2020-12-10T15:41:40.727Z,"14 km NNE of Néon Karlovásion, Greece",earthquake,3.9,1.9,0.036,75,reviewed,us,us
2020-10-30T11:10:10.970Z,-8.8337,161.0421,20,5.7,mww,,28,1.236,0.81,us,us7000c7xt,2020-12-14T13:01:16.030Z,"38 km E of Auki, Solomon Islands",earthquake,6.9,1.8,0.093,11,reviewed,us,us
2020-10-30T10:14:59.119Z,-25.8422,179.3365,518.63,5.2,mww,,28,4.169,0.85,us,us7000c7x8,2020-12-03T13:02:57.040Z,"south of the Fiji Islands",earthquake,10.4,5.6,0.093,11,reviewed,us,us
2020-10-30T09:26:43.931Z,10.7329,-43.1035,10,4.5,mb,,67,10.975,0.67,us,us7000casc,2020-12-03T09:57:09.040Z,"northern Mid-Atlantic Ridge",earthquake,12.7,1.9,0.144,16,reviewed,us,us
2020-10-30T09:20:36.917Z,34.4019,26.4286,10,4.6,mb,,172,1.291,0.58,us,us7000catf,2020-12-03T08:58:33.040Z,"89 km S of Palekastro, Greece",earthquake,5.1,1.9,0.164,11,reviewed,us,us
2020-10-30T08:38:41.224Z,10.6444,-43.5468,10,5.9,mww,,39,10.554,0.74,us,us7000c7wh,2020-12-07T17:13:23.040Z,"northern Mid-Atlantic Ridge",earthquake,7.9,1.8,0.047,44,reviewed,us,us
2020-10-30T04:36:28.560Z,54.5048,-159.6814,24.36,5.1,mww,,50,0.331,0.84,us,us7000c7v4,2020-11-26T02:02:49.040Z,"106 km SSE of Sand Point, Alaska",earthquake,2.9,3.1,0.041,57,reviewed,us,us
2020-10-30T04:06:45.644Z,-23.3516,-175.2876,10,4.8,mb,,116,6.329,1.07,us,us7000c7uz,2020-12-09T22:05:34.040Z,"226 km S of ‘Ohonua, Tonga",earthquake,10.1,1.8,0.053,110,reviewed,us,us
2020-10-30T03:02:01.755Z,-22.9896,-114.6519,10,4.8,mb,,88,6.293,0.67,us,us7000c7u4,2020-11-26T01:38:29.040Z,"Easter Island region",earthquake,12.5,1.7,0.045,155,reviewed,us,us
2020-10-30T02:34:21.986Z,-20.8413,-178.5491,574.74,5.3,mww,,35,4.448,1.07,us,us7000c7tm,2020-11-26T01:34:38.040Z,"Fiji region",earthquake,9.9,4.9,0.098,10,reviewed,us,us
