id,longitude,latitude,date
FRA 18,01°50.48'W,46°24.46'N,2020-11-08
MON 10,01°49.82'W,46°24.34'N,2020-11-08
FRA 8,01°49.99'W,46°24.91'N,2020-11-08
FRA 59,01°49.68'W,46°24.71'N,2020-11-08
FRA 53,01°49.56'W,46°24.59'N,2020-11-08
FRA 56,01°49.87'W,46°25.19'N,2020-11-08
FRA 01,01°49.49'W,46°24.90'N,2020-11-08
GBR 99,01°49.45'W,46°25.21'N,2020-11-08
GBR 777,01°49.36'W,46°25.22'N,2020-11-08
FRA 85,01°49.22'W,46°25.14'N,2020-11-08
FRA 92,01°49.15'W,46°25.05'N,2020-11-08
FRA 49,01°49.29'W,46°25.26'N,2020-11-08
FRA 1000,01°49.02'W,46°24.84'N,2020-11-08
FRA 83,01°48.92'W,46°24.89'N,2020-11-08
FRA 109,01°49.36'W,46°25.62'N,2020-11-08
FRA 17,01°48.91'W,46°25.14'N,2020-11-08
ITA 34,01°49.09'W,46°25.53'N,2020-11-08
JPN 11,01°49.00'W,46°25.42'N,2020-11-08
FRA 6,01°49.19'W,46°25.80'N,2020-11-08
FRA 71,01°48.60'W,46°25.16'N,2020-11-08
FRA 30,01°49.03'W,46°25.78'N,2020-11-08
SUI 7,01°48.96'W,46°25.72'N,2020-11-08
ESP 33,01°48.85'W,46°25.59'N,2020-11-08
FRA 09,01°48.74'W,46°25.47'N,2020-11-08
FRA 72,01°48.92'W,46°25.83'N,2020-11-08
FRA 27,01°48.22'W,46°24.98'N,2020-11-08
FRA 4,01°48.73'W,46°25.75'N,2020-11-08
FRA 50,01°48.34'W,46°25.39'N,2020-11-08
FIN 222,01°48.21'W,46°25.65'N,2020-11-08
FRA 1000,07°35.86'W,45°18.15'N,2020-11-09
FRA 53,07°48.44'W,45°26.91'N,2020-11-09
FRA 01,07°48.35'W,45°30.57'N,2020-11-09
FRA 49,07°35.27'W,45°29.48'N,2020-11-09
FRA 09,07°42.41'W,45°32.08'N,2020-11-09
FRA 6,08°51.68'W,45°55.81'N,2020-11-09
FRA 109,08°25.56'W,45°56.15'N,2020-11-09
FRA 92,07°33.94'W,45°40.92'N,2020-11-09
FRA 8,08°54.88'W,46°05.50'N,2020-11-09
GBR 99,08°20.76'W,45°58.66'N,2020-11-09
FRA 17,08°17.64'W,46°00.20'N,2020-11-09
FRA 79,08°49.05'W,46°10.20'N,2020-11-09
FRA 85,08°44.19'W,46°08.95'N,2020-11-09
FRA 30,08°15.58'W,46°03.33'N,2020-11-09
FRA 27,08°18.41'W,46°04.84'N,2020-11-09
MON 10,08°34.64'W,46°10.25'N,2020-11-09
FRA 59,09°06.99'W,46°20.63'N,2020-11-09
ESP 33,07°15.27'W,45°47.68'N,2020-11-09
FRA 4,08°38.12'W,46°13.09'N,2020-11-09
FRA 71,07°25.79'W,45°54.26'N,2020-11-09
FRA 50,07°25.68'W,46°01.43'N,2020-11-09
FRA 18,08°55.04'W,46°28.03'N,2020-11-09
ITA 34,08°18.28'W,46°19.99'N,2020-11-09
GBR 777,07°25.06'W,46°04.98'N,2020-11-09
FIN 222,06°55.19'W,45°59.45'N,2020-11-09
SUI 7,08°13.06'W,46°30.84'N,2020-11-09
FRA 83,06°55.61'W,46°06.98'N,2020-11-09
FRA 72,07°19.07'W,46°22.56'N,2020-11-09
FRA 14,07°52.03'W,46°33.44'N,2020-11-09
JPN 11,08°31.16'W,46°47.48'N,2020-11-09
FRA 56,01°47.42'W,46°30.13'N,2020-11-09
FRA 09,10°14.38'W,42°25.35'N,2020-11-10
FRA 53,10°06.26'W,42°24.27'N,2020-11-10
FRA 01,10°23.08'W,42°32.68'N,2020-11-10
FRA 6,10°25.33'W,42°35.45'N,2020-11-10
FRA 1000,10°32.03'W,42°40.06'N,2020-11-10
FRA 49,10°13.06'W,42°35.77'N,2020-11-10
FRA 8,12°22.09'W,43°24.57'N,2020-11-10
FRA 79,12°35.78'W,43°33.78'N,2020-11-10
FRA 85,12°12.75'W,43°28.93'N,2020-11-10
FRA 17,09°41.79'W,42°54.90'N,2020-11-10
FRA 92,09°37.35'W,42°53.69'N,2020-11-10
FRA 109,11°40.74'W,43°31.06'N,2020-11-10
ESP 33,09°39.00'W,43°01.39'N,2020-11-10
FRA 71,09°26.02'W,43°04.28'N,2020-11-10
FRA 4,12°49.96'W,44°00.33'N,2020-11-10
FRA 27,10°43.43'W,43°36.23'N,2020-11-10
GBR 99,12°39.44'W,44°09.93'N,2020-11-10
FRA 30,12°04.97'W,44°02.21'N,2020-11-10
MON 10,12°42.11'W,44°12.58'N,2020-11-10
FRA 83,09°58.83'W,43°32.99'N,2020-11-10
FIN 222,09°53.11'W,43°34.51'N,2020-11-10
FRA 59,13°37.35'W,44°31.24'N,2020-11-10
SUI 7,11°02.62'W,43°58.00'N,2020-11-10
FRA 50,10°29.53'W,43°55.99'N,2020-11-10
GBR 777,10°12.92'W,43°54.69'N,2020-11-10
FRA 18,13°30.72'W,44°42.25'N,2020-11-10
ITA 34,12°16.58'W,44°31.37'N,2020-11-10
FRA 14,09°03.16'W,43°51.49'N,2020-11-10
JPN 11,11°33.56'W,44°41.35'N,2020-11-10
FRA 72,10°28.79'W,44°31.29'N,2020-11-10
FRA 56,01°47.42'W,46°30.13'N,2020-11-10
FRA 53,15°47.49'W,40°36.20'N,2020-11-11
FRA 09,16°09.73'W,40°48.25'N,2020-11-11
FRA 01,16°13.28'W,40°50.97'N,2020-11-11
FRA 79,18°10.11'W,41°11.37'N,2020-11-11
FRA 59,19°24.89'W,41°21.65'N,2020-11-11
FRA 6,17°00.44'W,41°02.08'N,2020-11-11
GBR 99,18°17.51'W,41°14.81'N,2020-11-11
FRA 85,18°07.91'W,41°16.51'N,2020-11-11
FRA 17,15°32.84'W,40°52.65'N,2020-11-11
FRA 1000,16°40.97'W,41°11.70'N,2020-11-11
FRA 4,19°11.22'W,41°32.96'N,2020-11-11
FRA 49,16°03.19'W,41°06.28'N,2020-11-11
FRA 109,17°43.85'W,41°24.45'N,2020-11-11
FRA 18,19°09.63'W,41°35.64'N,2020-11-11
FRA 92,14°26.77'W,41°02.09'N,2020-11-11
MON 10,18°32.56'W,41°48.25'N,2020-11-11
ITA 34,17°23.63'W,41°38.78'N,2020-11-11
FRA 30,17°38.24'W,41°41.43'N,2020-11-11
FRA 71,13°50.85'W,41°12.50'N,2020-11-11
SUI 7,16°49.08'W,41°49.90'N,2020-11-11
ESP 33,13°53.92'W,41°34.18'N,2020-11-11
FRA 27,14°21.62'W,41°40.26'N,2020-11-11
JPN 11,16°05.26'W,42°12.92'N,2020-11-11
FRA 50,15°33.86'W,42°16.63'N,2020-11-11
FRA 14,14°34.82'W,42°05.46'N,2020-11-11
FRA 83,12°52.18'W,41°43.65'N,2020-11-11
FIN 222,15°17.68'W,42°21.77'N,2020-11-11
GBR 777,14°59.09'W,42°23.35'N,2020-11-11
FRA 8,15°36.14'W,42°52.75'N,2020-11-11
FRA 72,14°51.57'W,43°01.59'N,2020-11-11
FRA 56,05°27.39'W,45°02.21'N,2020-11-11
GBR 99,22°46.30'W,37°52.58'N,2020-11-12
FRA 01,21°36.24'W,37°52.36'N,2020-11-12
FRA 09,21°34.73'W,38°01.11'N,2020-11-12
FRA 59,23°49.27'W,38°08.64'N,2020-11-12
FRA 79,23°46.92'W,38°08.75'N,2020-11-12
FRA 6,22°18.13'W,38°09.68'N,2020-11-12
FRA 85,23°29.25'W,38°18.40'N,2020-11-12
FRA 109,22°08.02'W,38°17.03'N,2020-11-12
FRA 53,21°19.48'W,38°24.37'N,2020-11-12
FRA 4,21°55.24'W,38°28.60'N,2020-11-12
FRA 49,21°07.99'W,38°26.70'N,2020-11-12
FRA 1000,21°31.18'W,38°35.05'N,2020-11-12
FRA 30,21°09.35'W,38°37.25'N,2020-11-12
FRA 17,20°58.63'W,38°41.19'N,2020-11-12
MON 10,21°19.61'W,38°56.40'N,2020-11-12
ITA 34,21°00.29'W,38°57.67'N,2020-11-12
FRA 18,21°23.65'W,39°16.03'N,2020-11-12
SUI 7,20°15.35'W,39°20.32'N,2020-11-12
FRA 92,19°30.32'W,39°37.56'N,2020-11-12
ESP 33,18°22.38'W,39°36.17'N,2020-11-12
JPN 11,19°48.32'W,39°50.35'N,2020-11-12
FRA 27,19°18.08'W,39°48.10'N,2020-11-12
FRA 71,18°47.56'W,39°49.76'N,2020-11-12
FRA 14,19°08.80'W,40°00.97'N,2020-11-12
GBR 777,19°02.55'W,40°07.91'N,2020-11-12
FRA 50,19°04.19'W,40°09.52'N,2020-11-12
FIN 222,18°27.91'W,40°15.23'N,2020-11-12
FRA 83,16°08.55'W,40°17.78'N,2020-11-12
FRA 72,18°04.63'W,41°08.67'N,2020-11-12
FRA 8,11°41.93'W,44°20.93'N,2020-11-12
FRA 56,07°37.88'W,43°52.97'N,2020-11-12
GBR 99,25°48.77'W,32°33.62'N,2020-11-13
FRA 01,25°21.87'W,33°00.45'N,2020-11-13
FRA 6,25°10.87'W,33°21.74'N,2020-11-13
FRA 59,26°15.01'W,33°26.24'N,2020-11-13
FRA 85,26°10.76'W,33°29.76'N,2020-11-13
FRA 09,25°11.59'W,33°42.04'N,2020-11-13
FRA 79,27°05.20'W,33°39.54'N,2020-11-13
FRA 109,25°18.56'W,33°59.85'N,2020-11-13
FRA 53,24°51.90'W,34°07.24'N,2020-11-13
FRA 1000,24°59.35'W,34°15.18'N,2020-11-13
FRA 49,24°38.17'W,34°21.78'N,2020-11-13
FRA 17,24°23.75'W,34°23.41'N,2020-11-13
MON 10,24°33.60'W,34°23.67'N,2020-11-13
FRA 18,24°13.62'W,34°31.61'N,2020-11-13
FRA 4,24°59.94'W,35°11.00'N,2020-11-13
FRA 30,25°14.25'W,35°17.85'N,2020-11-13
ITA 34,24°20.45'W,35°20.97'N,2020-11-13
SUI 7,23°34.83'W,35°35.21'N,2020-11-13
JPN 11,22°24.29'W,36°24.56'N,2020-11-13
FRA 92,22°34.40'W,36°27.31'N,2020-11-13
FRA 27,21°48.80'W,36°47.09'N,2020-11-13
FRA 14,22°00.42'W,37°16.19'N,2020-11-13
FRA 71,21°52.79'W,37°25.84'N,2020-11-13
ESP 33,20°27.21'W,37°37.57'N,2020-11-13
GBR 777,22°00.73'W,37°54.97'N,2020-11-13
